trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,6,-39.91538658966563,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-141.09409715931614,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-173.42217357068387,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-150.1939577474935,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-43.05363275870968,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-139.48996901405496,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-293.33047544247677,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,5,-99.1982489681092,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-155.8678034839253,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-66.07877487770716,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-148.63950228220736,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,2,-87.83399014675526,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-177.93487892201884,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-89.4517199478538,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,4,6.6068096298072305,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,14.797433619649498,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-70.19335707493659,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,-0.3705722797625661,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,12,-73.04526208843778,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,7,-98.42112448222399,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 3}",1
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,12,10.044565474215364,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",25,13,0.30252867304809317,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,7,-43.13717006497904,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",20,14,12.183244143106156,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",25,0,-113.77307060472887,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,14,-44.688170706216596,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,8,-6.307675455957184,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,2.9892007064279085,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",30,17,11.093154501914084,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,14,-20.62145937934272,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
