trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.94, 'e': 0.94}",25,0,-143.50065792687667,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.94, 'e': 0.8835999999999999}",30,5,-128.37685305676092,"{0: 18, 1: 3, 2: 0, 3: 1, 4: 3}",1
3,False,"{'a': 0.94, 'e': 0.8305839999999999}",30,0,-174.93934502774587,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.94, 'e': 0.7807489599999998}",25,0,-211.68117454330033,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.94, 'e': 0.7339040223999997}",20,3,-118.21107032894304,"{0: 8, 1: 4, 2: 3, 3: 0, 4: 2}",1
6,False,"{'a': 0.94, 'e': 0.6898697810559997}",20,4,-6.619580158320703,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.94, 'e': 0.6484775941926397}",20,0,-15.306564418680773,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.94, 'e': 0.6095689385410813}",25,0,-83.80810646297338,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.94, 'e': 0.5729948022286164}",20,11,-40.65046265192782,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.94, 'e': 0.5386151140948994}",20,16,7.11053007344723,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.94, 'e': 0.5062982072492054}",25,0,-67.94960197284712,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.94, 'e': 0.475920314814253}",20,4,-0.9622780321860391,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.94, 'e': 0.4473650959253978}",20,0,1.1733533828995828,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.94, 'e': 0.42052319016987394}",30,0,5.229968979734195,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.94, 'e': 0.39529179875968146}",25,0,2.8574525852769055,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.94, 'e': 0.37157429083410054}",25,8,18.447012628862147,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.94, 'e': 0.3492798333840545}",20,2,-24.766043757774586,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.94, 'e': 0.3283230433810112}",20,14,10.165817180377614,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.94, 'e': 0.3086236607781505}",30,0,-64.10675062532837,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
20,False,"{'a': 0.94, 'e': 0.29010624113146144}",20,0,-34.78226368346171,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.94, 'e': 0.27269986666357376}",20,0,24.74756970716169,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.94, 'e': 0.25633787466375935}",20,0,-35.13732781547126,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.94, 'e': 0.24095760218393378}",25,1,17.408569444348366,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.94, 'e': 0.22650014605289773}",20,14,13.040187273614213,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.94, 'e': 0.21291013728972386}",20,13,10.643113782034153,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.94, 'e': 0.20013552905234042}",25,14,9.059645748577802,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.94, 'e': 0.18812739730919997}",30,2,36.800592069528335,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.94, 'e': 0.17683975347064795}",20,0,26.38754580258977,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.94, 'e': 0.16622936826240906}",20,0,-25.958889603461095,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.94, 'e': 0.1562556061666645}",25,7,-35.9684326410392,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.94, 'e': 0.14688026979666463}",25,4,29.255330491061702,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.94, 'e': 0.13806745360886474}",20,13,12.933009938692427,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.94, 'e': 0.12978340639233285}",20,0,18.64313163100058,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
34,False,"{'a': 0.94, 'e': 0.12199640200879287}",25,13,9.14166691693163,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.94, 'e': 0.11467661788826529}",20,0,26.754127442708228,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.94, 'e': 0.10779602081496936}",30,18,18.93541341465408,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.94, 'e': 0.1013282595660712}",30,22,3.6227468295444645,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.94, 'e': 0.09524856399210692}",25,10,28.125248854561463,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.94, 'e': 0.0895336501525805}",25,6,-8.921258143050265,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.94, 'e': 0.08416163114342566}",20,8,-19.250276987224478,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.94, 'e': 0.07911193327482012}",20,13,7.659216107784655,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.94, 'e': 0.07436521727833091}",20,4,30.154147526349647,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.94, 'e': 0.06990330424163105}",25,12,28.09870277824584,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.94, 'e': 0.06570910598713318}",25,15,16.362851380670644,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.94, 'e': 0.06176655962790519}",25,0,-47.67312308399591,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.94, 'e': 0.058060566050230876}",25,20,10.94632926828999,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.94, 'e': 0.05457693208721702}",30,14,25.975839704338938,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.94, 'e': 0.051302316161983996}",20,14,10.223521526784648,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.94, 'e': 0.048224177192264954}",30,18,19.539023142830267,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.94, 'e': 0.045330726560729055}",20,0,-1.372551488015551,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.94, 'e': 0.04261088296708531}",25,8,16.15904882341243,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.94, 'e': 0.04005422998906019}",25,0,34.76875932812013,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.94, 'e': 0.03765097618971658}",30,21,17.931339612789,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.94, 'e': 0.03539191761833358}",30,17,21.72319002022306,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.94, 'e': 0.03326840256123356}",30,20,9.034572751625916,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.94, 'e': 0.031272298407559546}",20,5,21.199913377711606,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.94, 'e': 0.029395960503105972}",20,14,11.10732531586638,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.94, 'e': 0.027632202872919613}",20,16,7.566761984913883,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.94, 'e': 0.025974270700544436}",30,17,14.855553649877198,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.94, 'e': 0.024415814458511768}",25,3,-15.527328928763245,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.94, 'e': 0.02295086559100106}",25,11,27.8967185107769,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.94, 'e': 0.021573813655540997}",20,11,14.187655687844288,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.94, 'e': 0.020279384836208537}",20,9,17.866102724231844,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.94, 'e': 0.019062621746036023}",35,21,-14.043943020741068,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.94, 'e': 0.01791886444127386}",25,11,21.569438270694317,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.94, 'e': 0.01684373257479743}",35,24,20.110243531311127,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.94, 'e': 0.015833108620309583}",30,15,26.62989882261042,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.94, 'e': 0.014883122103091008}",25,16,15.341936998251983,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.94, 'e': 0.013990134776905546}",20,11,18.01763615595116,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.94, 'e': 0.013150726690291213}",20,10,17.550197575199466,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.94, 'e': 0.01236168308887374}",20,6,29.04566325372868,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.94, 'e': 0.011619982103541315}",20,12,14.586854107099047,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.94, 'e': 0.010922783177328836}",20,3,25.507590124357947,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
